"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 22 17:52:06 UTC 2023","Sun Oct 22 17:52:13 UTC 2023","6210","chromium","P0/P0.spec.js","Checks w/o login","","","WEB-3: Ð¡heck adding item to cart",""
"passed","Sun Oct 22 17:52:43 UTC 2023","Sun Oct 22 17:52:50 UTC 2023","7251","chromium","P0/P0.spec.js","Checks with login","","","WEB-9: Check product information",""
"passed","Sun Oct 22 17:52:27 UTC 2023","Sun Oct 22 17:52:43 UTC 2023","16225","chromium","P0/P0.spec.js","Checks with login","","","WEB-4: Placement and confirmation of order",""
"passed","Sun Oct 22 17:52:55 UTC 2023","Sun Oct 22 17:52:57 UTC 2023","2507","chromium","P1/P1.spec.js","","","","WEB-8: Check all available product categories",""
"passed","Sun Oct 22 17:53:29 UTC 2023","Sun Oct 22 17:53:32 UTC 2023","3274","chromium","P2/P2.spec.js","","","","WEB-6: Login to SW with wrong credentials",""
"passed","Sun Oct 22 17:53:20 UTC 2023","Sun Oct 22 17:53:29 UTC 2023","8825","chromium","P1/P1.spec.js","","","","WEB-10: Check updating product information",""
"passed","Sun Oct 22 17:52:03 UTC 2023","Sun Oct 22 17:52:06 UTC 2023","3455","chromium","P0/P0.spec.js","Checks w/o login","","","WEB-2: Success login to SW",""
"passed","Sun Oct 22 17:53:32 UTC 2023","Sun Oct 22 17:53:35 UTC 2023","3012","chromium","P2/P2.spec.js","","","","WEB-7: Check that groups in ""Computers"" category are visible",""
"passed","Sun Oct 22 17:52:50 UTC 2023","Sun Oct 22 17:52:55 UTC 2023","4231","chromium","P1/P1.spec.js","","","","WEB-5: Check that ""Search"" returns correct data",""
"passed","Sun Oct 22 17:51:58 UTC 2023","Sun Oct 22 17:52:03 UTC 2023","4612","chromium","P0/P0.spec.js","Checks w/o login","","","WEB-1: Success registration to SW",""
